CustID,x0_b'2 - High School',x0_b'3 - BSc/MSc',x0_b'4 - PhD',x1_Diamond,x1_Gold,x1_Silver,MonthSal,GeoLivArea,Children,CustMonVal,Client Tenure,Total Premium
1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3933447098976109,0.0,1.0,0.9002215509761065,0.5769230769230769,0.12670074170705578
2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.07337883959044368,1.0,1.0,0.8696815092899336,0.1923076923076923,0.2515566283008711
3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.41467576791808874,0.6666666666666667,0.0,0.9075986319301771,0.34615384615384615,0.16487998266060064
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16339590443686008,1.0,1.0,0.8764884617563654,0.3846153846153846,0.09369075832398019
5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3050341296928328,1.0,1.0,0.8796026991647856,0.5384615384615385,0.1082216634630159
6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.4763225255972696,1.0,1.0,0.8760507271225507,0.5384615384615385,0.08780920148198948
7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.8041808873720137,1.0,0.0,0.8735650623354395,0.8076923076923077,0.20094267720733913
8.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3007679180887372,1.0,1.0,0.8688597132062869,0.4615384615384617,0.2509867888836541
9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3261518771331058,0.0,1.0,0.8987640258466199,0.7307692307692308,0.08905572520715185
10.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7485068259385665,0.0,0.0,0.8703840316313964,0.9230769230769231,0.17363108799643448
11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7811433447098977,1.0,0.0,0.89480652308096,0.3846153846153846,0.1291988770093199
12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5334897610921502,0.6666666666666667,1.0,0.9016987562730534,0.5769230769230769,0.19019713391124551
13.0,0.0,1.0,0.0,0.0,1.0,0.0,0.7303754266211604,0.0,0.0,0.8776412424745723,0.7307692307692308,0.22666685661313915
14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1514505119453925,0.6666666666666667,1.0,0.8730217704397921,0.0,0.2344207429688431
15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3515358361774744,0.0,1.0,0.8721940106690362,0.653846153846154,0.060273746785749566
16.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1367320819112628,1.0,1.0,0.8947999630251399,0.4615384615384617,0.13207351335510256
17.0,1.0,0.0,0.0,1.0,0.0,0.0,0.44880546075085326,0.0,1.0,0.8834999686906426,0.34615384615384615,0.3471675419467952
18.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5108788395904437,1.0,1.0,0.8822076376940807,0.7307692307692308,0.13009942680260048
19.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2305887372013652,0.6666666666666667,1.0,0.891240834558374,0.6923076923076923,0.24380274194516713
20.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5157849829351536,0.0,1.0,0.8985511222168218,0.4615384615384617,0.08955942254915625
21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.29244880546075086,1.0,1.0,0.8997897800294009,0.5384615384615385,0.12081918486506507
22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5955631399317406,0.6666666666666667,1.0,0.8841434505297244,0.8846153846153846,0.13117805141376146
